"","LAT_REL","LONG_REL","LAT_REC","LONG_REC","TAG_NUMBER","PROGRAM","RELDT","RECDT","DAL","INDEX","REC_YEAR","REL_AREA","REC_AREA","REL_MONTH","REC_MONTH","REL_YEAR","DISTANCE","SPEED","COUNT","REC_REGION","REL_REGION","BEARING","dir.binned"
"42",54.6575,-165.103515,60.46666667,-175.4,7346,"FIT","11/20/2003","10/25/2005",705,3075,2005,517,524,11,10,2003,891.563500138223,1.26462907821024,1,"EBS","EBS",316.52034485326,"330"
"43",54.12,-166.3616667,60.03333333,-179.0333333,80,"RACE","9/22/1982","11/2/1984",772,3,1984,519,524,9,11,1982,1009.08847451529,1.30710942294726,1,"EBS","EBS",310.721864116755,"300"
"44",54.115,-166.3433333,60.41666667,-178.2166667,2168,"RACE","9/3/1983","10/19/1987",1507,123,1987,519,524,9,10,1983,1000.08473070446,0.663626231389822,1,"EBS","EBS",314.54989035222,"300"
"45",54.13333333,-165.7666667,60.76666665,-178.6666667,68,"FIT","4/25/2002","8/24/2003",486,1458,2003,519,524,4,8,2002,1066.83457678729,2.19513287404793,1,"EBS","EBS",313.7978898501,"300"
"46",54.48615167,-165.5335167,59.48996669,-170.63325,5442,"FIT","2/14/2003","9/14/2003",212,2691,2003,519,524,2,9,2003,637.234993920146,3.00582544301955,1,"EBS","EBS",331.002885664183,"330"
"47",54.33148833,-165.7157,60.58333331,-173.7333333,5580,"FIT","2/14/2003","11/1/2004",626,2694,2004,519,524,2,11,2003,845.091917074924,1.34998708797911,1,"EBS","EBS",325.478586010281,"330"
"48",54.45566333,-164.9953333,60.01666667,-173.0333333,6809,"FIT","2/16/2003","5/5/2003",78,2926,2003,519,524,2,5,2003,785.701563989101,10.0730969742192,1,"EBS","EBS",322.030205586054,"330"
"49",58.98983333,-167.885,59.58333333,-176.7166667,2576,"RACE","7/3/1985","12/3/1986",518,241,1986,514,521,7,12,1985,507.315153990159,0.979372884150885,1,"EBS","EBS",277.495876462268,"270"
"50",60.68333333,-169.9533333,57.06666667,-171.2,2033,"RACE","10/6/1985","6/3/1987",605,247,1987,514,521,10,6,1985,409.218803173585,0.676394715989397,1,"EBS","EBS",190.092163981223,"180"
"51",60.64366667,-176.7916667,59.2,-175.9166667,5325,"RACE","7/30/1986","12/8/1986",131,299,1986,524,521,7,12,1986,168.117293296133,1.28333811676438,1,"EBS","EBS",163.106062689534,"150"
"52",60.67033333,-178.155,56.55,-170.65,5337,"RACE","7/31/1986","2/9/1987",193,300,1987,524,521,7,2,1986,632.443498694169,3.27690931965891,1,"EBS","EBS",136.546742852798,"150"
"53",60.33683333,-177.4016667,59.53,-176.4466667,5344,"RACE","7/31/1986","4/19/1987",262,301,1987,524,521,7,4,1986,104.550807867643,0.399048884991005,1,"EBS","EBS",149.333052982514,"150"
"54",60.33683333,-177.4016667,58.63666667,-176.7566667,5345,"RACE","7/31/1986","12/27/1987",514,302,1987,524,521,7,12,1986,192.895791523113,0.375283641095551,1,"EBS","EBS",169.099706033859,"180"
