YEAR,INDEX,TEMP,MODEL,SERIES,USED
2043,4,2.043426514,MPI_ESM_LR_2.6,2.6,Y
2044,4,3.565607071,MPI_ESM_LR_2.6,2.6,Y
2045,4,1.292780876,MPI_ESM_LR_2.6,2.6,Y
2046,4,2.545021057,MPI_ESM_LR_2.6,2.6,Y
2047,4,1.466663361,MPI_ESM_LR_2.6,2.6,Y
2048,4,0.622513771,MPI_ESM_LR_2.6,2.6,Y
2049,4,1.128325462,MPI_ESM_LR_2.6,2.6,Y
2050,4,0.771497726,MPI_ESM_LR_2.6,2.6,Y
2051,4,1.183962822,MPI_ESM_LR_2.6,2.6,Y
2052,4,2.307310104,MPI_ESM_LR_2.6,2.6,Y
2053,4,2.056656837,MPI_ESM_LR_2.6,2.6,Y
2054,4,0.954576492,MPI_ESM_LR_2.6,2.6,Y
2055,4,0.992098808,MPI_ESM_LR_2.6,2.6,Y
2056,4,1.474211693,MPI_ESM_LR_2.6,2.6,Y
2057,4,0.321047783,MPI_ESM_LR_2.6,2.6,Y
2058,4,-0.625555038,MPI_ESM_LR_2.6,2.6,Y
2059,4,0.140205383,MPI_ESM_LR_2.6,2.6,Y
2060,4,1.229841232,MPI_ESM_LR_2.6,2.6,Y
2061,4,2.043290138,MPI_ESM_LR_2.6,2.6,Y
2062,4,1.991785049,MPI_ESM_LR_2.6,2.6,Y
2063,4,3.329586983,MPI_ESM_LR_2.6,2.6,Y
2064,4,1.999196053,MPI_ESM_LR_2.6,2.6,Y
2065,4,1.4061203,MPI_ESM_LR_2.6,2.6,Y
2066,4,1.367308617,MPI_ESM_LR_2.6,2.6,Y
2067,4,4.36911869,MPI_ESM_LR_2.6,2.6,Y
2068,4,2.074669838,MPI_ESM_LR_2.6,2.6,Y
2069,4,0.728962898,MPI_ESM_LR_2.6,2.6,Y
2070,4,0.608913422,MPI_ESM_LR_2.6,2.6,Y
2071,4,0.828826904,MPI_ESM_LR_2.6,2.6,Y
2072,4,1.090138435,MPI_ESM_LR_2.6,2.6,Y
2073,4,1.23591423,MPI_ESM_LR_2.6,2.6,Y
2074,4,1.306079865,MPI_ESM_LR_2.6,2.6,Y
2075,4,1.195361137,MPI_ESM_LR_2.6,2.6,Y
2076,4,0.902536392,MPI_ESM_LR_2.6,2.6,Y
2077,4,1.648077965,MPI_ESM_LR_2.6,2.6,Y
2078,4,0.997493744,MPI_ESM_LR_2.6,2.6,Y
2079,4,1.438209534,MPI_ESM_LR_2.6,2.6,Y
2080,4,1.69652462,MPI_ESM_LR_2.6,2.6,Y
2081,4,1.692734718,MPI_ESM_LR_2.6,2.6,Y
2082,4,0.622704506,MPI_ESM_LR_2.6,2.6,Y
2083,4,0.955866814,MPI_ESM_LR_2.6,2.6,Y
2084,4,1.058022499,MPI_ESM_LR_2.6,2.6,Y
2085,4,1.896284103,MPI_ESM_LR_2.6,2.6,Y
2086,4,2.372076035,MPI_ESM_LR_2.6,2.6,Y
2087,4,1.359054565,MPI_ESM_LR_2.6,2.6,Y
2088,4,0.995393753,MPI_ESM_LR_2.6,2.6,Y
2089,4,0.895380974,MPI_ESM_LR_2.6,2.6,Y
2090,4,0.481829643,MPI_ESM_LR_2.6,2.6,Y
2091,4,2.33659935,MPI_ESM_LR_2.6,2.6,Y
2092,4,2.110283852,MPI_ESM_LR_2.6,2.6,Y
2093,4,0.330627441,MPI_ESM_LR_2.6,2.6,Y
2094,4,0.757478714,MPI_ESM_LR_2.6,2.6,Y
2095,4,1.097392082,MPI_ESM_LR_2.6,2.6,Y
2096,4,-0.208077431,MPI_ESM_LR_2.6,2.6,Y
2097,4,1.514740944,MPI_ESM_LR_2.6,2.6,Y
2098,4,1.542293549,MPI_ESM_LR_2.6,2.6,Y
2099,4,0.590466499,MPI_ESM_LR_2.6,2.6,Y
2020,4,0.12279415,MPI_ESM_MR_2.6,2.6,Y
2021,4,1.49715233,MPI_ESM_MR_2.6,2.6,Y
2022,4,0.71812153,MPI_ESM_MR_2.6,2.6,Y
2023,4,1.25418758,MPI_ESM_MR_2.6,2.6,Y
2024,4,0.74862289,MPI_ESM_MR_2.6,2.6,Y
2025,4,0.88107395,MPI_ESM_MR_2.6,2.6,Y
2026,4,0.73797989,MPI_ESM_MR_2.6,2.6,Y
2027,4,1.65388775,MPI_ESM_MR_2.6,2.6,Y
2028,4,0.37454605,MPI_ESM_MR_2.6,2.6,Y
2029,4,0.23349667,MPI_ESM_MR_2.6,2.6,Y
2030,4,0.48443127,MPI_ESM_MR_2.6,2.6,Y
2031,4,0.89084721,MPI_ESM_MR_2.6,2.6,Y
2032,4,0.77763462,MPI_ESM_MR_2.6,2.6,Y
2033,4,0.65813351,MPI_ESM_MR_2.6,2.6,Y
2034,4,0.43169498,MPI_ESM_MR_2.6,2.6,Y
2035,4,-0.09031391,MPI_ESM_MR_2.6,2.6,Y
2036,4,1.94054413,MPI_ESM_MR_2.6,2.6,Y
2037,4,1.23950863,MPI_ESM_MR_2.6,2.6,Y
