Label,Value,Parm_StDev
Size_DblN_peak_FshLL(2)_DEVmult_1985,1.36245,0.399032
Size_DblN_peak_FshLL(2)_DEVmult_1986,1.24863,0.400607
Size_DblN_peak_FshLL(2)_DEVmult_1987,0.0236599,1.00294
Size_DblN_peak_FshLL(2)_DEVmult_1988,-0.151016,0.57919
Size_DblN_peak_FshLL(2)_DEVmult_1989,-0.00123488,0.991341
Size_DblN_ascend_se_FshLL(2)_DEVmult_1978,-0.123612,0.518166
Size_DblN_ascend_se_FshLL(2)_DEVmult_1979,-0.214851,0.535349
Size_DblN_ascend_se_FshLL(2)_DEVmult_1980,0.255376,0.453185
Size_DblN_ascend_se_FshLL(2)_DEVmult_1981,-0.474153,0.490301
Size_DblN_ascend_se_FshLL(2)_DEVmult_1982,-0.400308,0.480403
Size_DblN_ascend_se_FshLL(2)_DEVmult_1983,-0.706564,0.450008
Size_DblN_ascend_se_FshLL(2)_DEVmult_1984,0.0491871,0.443029
Size_DblN_ascend_se_FshLL(2)_DEVmult_1985,0.946899,0.371077
Size_DblN_ascend_se_FshLL(2)_DEVmult_1986,0.836826,0.375625
Size_DblN_ascend_se_FshLL(2)_DEVmult_1987,-0.012143,0.99523
Size_DblN_ascend_se_FshLL(2)_DEVmult_1988,-0.137079,0.793057
Size_DblN_ascend_se_FshLL(2)_DEVmult_1989,-0.00121384,0.9983
