YEAR,LENGTH,TOTAL
1999,89,157592
1999,90,21475
1999,91,40914
1999,93,75118
1999,95,15965
1999,97,38747
1999,98,39311
1999,99,81340
1999,100,50799
1999,102,18135
2001,4,30876
2001,9,14897
2001,11,104666
2001,12,186512
2001,13,321080
2001,14,832037
2001,15,887287
2001,16,741949
2001,17,817202
2001,18,1412738
2001,19,1652943
2001,20,1434629
2001,21,1833805
2001,22,1452887
2001,23,2172558
2001,24,2583263
2001,25,2364340
2001,26,2540026
2001,27,1742167
2001,28,2017941
2001,29,1607253
2001,30,1720457
2001,31,1510677
2001,32,1138944
2001,33,1496868
2001,34,1238678
2001,35,1544811
2001,36,1896942
2001,37,2323459
2001,38,3036508
2001,39,3936714
2001,40,2823476
2001,41,3882955
2001,42,3551298
2001,43,3366196
2001,44,3296222
2001,45,3615373
2001,46,2976801
2001,47,3290362
2001,48,3411539
2001,49,4236131
2001,50,3042173
2001,51,4038405
2001,52,3325329
2001,53,3073393
2001,54,4126887
2001,55,3442193
2001,56,3422715
2001,57,3200986
2001,58,3570682
2001,59,3347169
2001,60,3519683
2001,61,3400487
2001,62,3096569
2001,63,4401085
2001,64,3463458
2001,65,3640039
2001,66,2516670
2001,67,2667434
2001,68,2094237
2001,69,1573101
2001,70,2237395
2001,71,1412634
2001,72,1444192
2001,73,822388
2001,74,1159773
2001,75,847121
2001,76,842451
2001,77,718833
2001,78,408406
2001,79,305711
2001,80,483247
2001,81,286605
2001,82,111905
2001,83,96022
2001,84,229578
2001,85,46759
2001,86,125137
2001,87,102033
2001,88,69144
2001,89,92459
2001,90,37135
2001,91,39383
2001,92,49939
2001,93,176722
2001,94,39383
2001,95,39383
2001,96,39383
2001,97,37135
2001,100,56968
2001,101,39383
2001,102,19691
2003,6,12886
2003,13,8536
2003,14,79979
2003,15,48525
2003,16,250150
2003,17,194760
2003,18,218418
2003,19,555823
2003,20,557554
2003,21,898714
2003,22,816779
2003,23,687745
2003,24,443127
2003,25,588476
2003,26,492606
2003,27,469441
2003,28,340969
2003,29,352696
2003,30,280396
2003,31,363250
2003,32,485047
2003,33,661053
2003,34,923024
2003,35,1208633
2003,36,1463166
2003,37,1456758
2003,38,2254627
2003,39,2574890
2003,40,3234671
2003,41,2861428
2003,42,3773960
2003,43,4252582
2003,44,5150188
2003,45,4919569
2003,46,4518786
2003,47,4126174
2003,48,4586118
2003,49,4262355
2003,50,4571890
2003,51,3958706
2003,52,4777042
2003,53,4640100
2003,54,5138828
2003,55,5880251
2003,56,4930208
2003,57,5730194
2003,58,5499773
2003,59,6387327
2003,60,5272083
2003,61,5242022
2003,62,4737219
2003,63,4135389
2003,64,3513078
2003,65,2808997
2003,66,3160491
2003,67,2338236
2003,68,2120193
2003,69,1798141
2003,70,1677207
2003,71,1290022
2003,72,1451944
2003,73,1198863
2003,74,887807
2003,75,812978
2003,76,568142
2003,77,633142
2003,78,622443
2003,79,685375
2003,80,529544
2003,81,481513
2003,82,441283
2003,83,246565
2003,84,271236
2003,85,210631
2003,86,163254
2003,87,132071
2003,88,68756
2003,89,50080
2003,90,70960
2003,91,102526
2003,92,68173
2003,93,16373
2003,95,21845
2003,96,11712
2003,97,10059
2003,98,10845
2005,5,186910
2005,8,12665
2005,12,21666
2005,13,36676
2005,14,138154
2005,15,561123
2005,16,688795
2005,17,923412
2005,18,1073900
2005,19,1419176
2005,20,1223812
2005,21,1550120
2005,22,1493818
2005,23,931892
2005,24,987931
2005,25,612627
2005,26,708343
2005,27,728309
2005,28,472044
2005,29,216292
2005,30,504905
2005,31,558188
2005,32,1010163
2005,33,1055663
2005,34,1411242
2005,35,1377402
2005,36,1787024
2005,37,1449953
2005,38,1700928
2005,39,1231614
2005,40,1296244
2005,41,1620995
2005,42,1603664
2005,43,1529901
2005,44,1286643
2005,45,1573706
2005,46,1742518
2005,47,1497822
2005,48,1988898
2005,49,1824254
2005,50,2391647
2005,51,2353742
2005,52,3281866
2005,53,3737041
2005,54,5566626
2005,55,5018600
2005,56,6289645
2005,57,6224405
2005,58,7210100
2005,59,6426145
2005,60,7253877
2005,61,5090263
2005,62,5107054
2005,63,4315476
2005,64,3929255
2005,65,2436837
2005,66,2427928
2005,67,1749150
2005,68,1906008
2005,69,1401992
2005,70,1261062
2005,71,1041548
2005,72,811213
2005,73,684296
2005,74,576422
2005,75,547090
2005,76,663697
2005,77,394640
2005,78,329739
2005,79,176185
2005,80,352743
2005,81,244586
2005,82,192263
2005,83,232307
2005,84,455015
2005,85,218751
2005,86,78462
2005,87,216516
2005,88,225635
2005,89,175217
2005,90,525464
2005,91,339734
2005,92,348518
2005,93,374201
2005,94,203996
2005,95,440315
2005,96,394359
2005,97,388209
2005,98,403299
2005,99,370924
2005,100,202559
2005,101,259647
2005,102,74185
2005,103,165654
2005,104,222554
2005,105,109855
2005,106,37092
2007,11,52347
2007,12,58968
2007,13,115638
2007,14,718815
2007,15,2492987
2007,16,4963342
2007,17,7106719
2007,18,8832558
2007,19,9127455
2007,20,6848756
2007,21,5444425
2007,22,3651382
2007,23,2637563
2007,24,2206580
2007,25,1796015
2007,26,2090265
2007,27,2105273
2007,28,1550000
2007,29,1659707
2007,30,1639757
2007,31,1222366
2007,32,1466735
2007,33,1544757
2007,34,1685344
2007,35,2019303
2007,36,2538161
2007,37,3071411
2007,38,3649789
2007,39,3850132
2007,40,4869024
2007,41,4773785
2007,42,5493230
2007,43,5864295
2007,44,4561719
2007,45,4682892
2007,46,4372698
2007,47,3040362
2007,48,3794644
2007,49,3151590
2007,50,3261526
2007,51,2449576
2007,52,2437400
2007,53,1905425
2007,54,2520676
2007,55,2688559
2007,56,2432196
2007,57,3302054
2007,58,3467661
2007,59,3496364
2007,60,3039483
2007,61,3232658
2007,62,2943212
2007,63,3024339
2007,64,2659469
2007,65,2152457
2007,66,2366372
2007,67,2037411
2007,68,1547301
2007,69,1672226
2007,70,1473416
2007,71,1054778
2007,72,1113588
2007,73,785396
2007,74,782545
2007,75,954512
2007,76,390198
2007,77,575476
2007,78,329664
2007,79,154895
2007,80,212020
2007,81,194592
2007,82,69848
2007,83,133205
2007,84,59767
2007,85,38446
2007,86,12574
2007,87,79775
2007,88,22854
2007,89,57281
2007,90,31795
2007,91,10592
2007,92,21603
2007,93,57838
2007,94,22895
2007,95,64812
2007,96,12574
2007,97,24885
2007,98,24823
2007,100,12908
2007,101,12908
2007,102,10801
2007,103,37983
2007,104,25817
2007,106,12908
2007,107,12908
2007,109,12908
2007,110,12908
2009,5,11344
2009,6,10959
2009,8,439752
2009,10,29864
2009,11,1240406
2009,12,4570862
2009,13,17844328
2009,14,41881728
2009,15,38918653
2009,16,22048554
2009,17,6974486
2009,18,2962673
2009,19,2197279
2009,20,2174741
2009,21,2031764
2009,22,2164680
2009,23,2325868
2009,24,1418518
2009,25,1151527
2009,26,741158
2009,27,969786
2009,28,1250858
2009,29,2150581
2009,30,2647218
2009,31,3301469
2009,32,3249364
2009,33,4541806
2009,34,5635347
2009,35,8503647
2009,36,9359870
2009,37,11260863
2009,38,9412526
2009,39,10576353
2009,40,10123286
2009,41,9396577
2009,42,9159067
2009,43,9506934
2009,44,9539442
2009,45,9707471
2009,46,9836209
2009,47,9011223
2009,48,10836603
2009,49,10071137
2009,50,10944435
2009,51,12878551
2009,52,13724939
2009,53,13207942
2009,54,16721833
2009,55,13880508
2009,56,19257986
2009,57,15390514
2009,58,17606879
2009,59,15866904
2009,60,14592817
2009,61,11483582
2009,62,10654674
2009,63,9758727
2009,64,10753273
2009,65,6240463
2009,66,7124642
2009,67,6061983
2009,68,4221991
2009,69,3218909
2009,70,3437665
2009,71,2559729
2009,72,1970633
2009,73,1877127
2009,74,1142149
2009,75,1717760
2009,76,1169459
2009,77,953291
2009,78,596710
2009,79,474041
2009,80,400095
2009,81,290848
2009,82,477722
2009,83,157965
2009,84,130808
2009,85,134175
2009,86,94611
2009,87,97388
2009,88,47229
2009,89,45403
2009,90,24981
2009,92,57633
2009,93,27154
2009,94,623439
2009,95,36408
2009,96,25024
2009,97,13229
2009,99,34946
2009,100,13925
2009,101,15905
2009,102,25634
2009,105,17556
2011,7,36758
2011,11,13582
2011,12,13582
2011,13,96310
2011,14,76626
2011,15,125213
2011,16,504121
2011,17,670145
2011,18,732324
2011,19,655768
2011,20,879812
2011,21,987876
2011,22,599634
2011,23,813599
2011,24,1066504
2011,25,966814
2011,26,411271
2011,27,650894
2011,28,580497
2011,29,520005
2011,30,615216
2011,31,1028952
2011,32,2825562
2011,33,2324918
2011,34,4144777
2011,35,6935571
2011,36,7139796
2011,37,8217819
2011,38,5461469
2011,39,8379839
2011,40,6125973
2011,41,11654092
2011,42,12772954
2011,43,16041964
2011,44,15247887
2011,45,16754304
2011,46,14517618
2011,47,13002328
2011,48,11777363
2011,49,11436384
2011,50,10670941
2011,51,9175237
2011,52,8420928
2011,53,9748350
2011,54,11005609
2011,55,11126575
2011,56,10394875
2011,57,10971048
2011,58,9764962
2011,59,9547204
2011,60,8122175
2011,61,7456388
2011,62,7563519
2011,63,6422372
2011,64,6452786
2011,65,4250879
2011,66,3853546
2011,67,3289661
2011,68,2711452
2011,69,1760384
2011,70,1621593
2011,71,1323253
2011,72,1346158
2011,73,807866
2011,74,408986
2011,75,513904
2011,76,500427
2011,77,314457
2011,78,259544
2011,79,190541
2011,80,396986
2011,81,133872
2011,82,104622
2011,83,64942
2011,84,152121
2011,85,25994
2011,86,71099
2011,87,58433
2011,88,48849
2011,89,39366
2011,90,27213
2011,91,25921
2011,92,10051
2011,95,10394
2011,96,41356
2011,108,21853
2013,5,92685
2013,6,112239
2013,8,55633
2013,10,24033
2013,11,31059
2013,12,332839
2013,13,1267054
2013,14,1234128
2013,15,3533624
2013,16,4808362
2013,17,8736798
2013,18,10882944
2013,19,12320271
2013,20,7441018
2013,21,7348002
2013,22,7614400
2013,23,3901281
2013,24,4601606
2013,25,3182388
2013,26,3156417
2013,27,2892906
2013,28,2875362
2013,29,2135974
2013,30,1613670
2013,31,1444198
2013,32,1260184
2013,33,946167
2013,34,1315282
2013,35,1726059
2013,36,1357504
2013,37,2536306
2013,38,1963740
2013,39,2748710
2013,40,3608082
2013,41,4190443
2013,42,5612182
2013,43,5592049
2013,44,6820144
