year,country,vessel_number,vessel_name,cruise_number,area_code,geographic_area_name,council_sablefish_management_area,species_code,common_name,sex,length,rpn,rpw,last_modified_date,akfin_load_date
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,1,74,39.3862104515254,121.311048138685,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,1,76,52.6400817724815,156.010110220467,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,1,81,8.7107797101898,28.8706620189676,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,1,82,21.9646510311458,63.5697241007498,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,2,40,21.9646510311458,63.5697241007498,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,2,42,43.9293020622917,127.1394482015,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,2,43,21.9646510311458,63.5697241007498,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,2,44,87.8586041245833,254.278896402999,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,2,45,30.6754307413356,92.4403861197175,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,2,46,8.7107797101898,28.8706620189676,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,2,47,30.6754307413356,92.4403861197175,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,36,Amatuli Gully,Central Gulf of Alaska,21720,Pacific cod,1,68,86.4831323541196,248.913562689969,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,36,Amatuli Gully,Central Gulf of Alaska,21720,Pacific cod,1,72,31.8696560275874,87.0950464842998,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,36,Amatuli Gully,Central Gulf of Alaska,21720,Pacific cod,2,46,63.7393120551747,174.1900929686,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,36,Amatuli Gully,Central Gulf of Alaska,21720,Pacific cod,2,49,31.8696560275874,87.0950464842998,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,36,Amatuli Gully,Central Gulf of Alaska,21720,Pacific cod,2,54,31.8696560275874,87.0950464842998,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,36,Amatuli Gully,Central Gulf of Alaska,21720,Pacific cod,2,55,31.8696560275874,87.0950464842998,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,36,Amatuli Gully,Central Gulf of Alaska,21720,Pacific cod,2,56,63.7393120551747,174.1900929686,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,36,Amatuli Gully,Central Gulf of Alaska,21720,Pacific cod,2,57,95.6089680827621,261.285139452899,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,36,Amatuli Gully,Central Gulf of Alaska,21720,Pacific cod,2,58,86.4831323541196,248.913562689969,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
